ms_zoning,lot_area,street,alley,lot_shape,land_contour,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,screen_porch,pool_qc,fence,misc_feature,mo_sold,yr_sold,sale_type,saleprice
RL,9.511777409660299,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,Ex,Y,SBrkr,725,754,7.299797366758161,0.0,0.0,2,1,3,1,Gd,6,Typ,0,No Fireplace,Attchd,1976.0,RFn,2.0,475.0,TA,TA,Y,0,44,0,0,No Pool,No Fence,No Misc,3,2010,WD ,11.779136168550774
RL,9.349493433368758,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,Ex,Y,SBrkr,913,1209,7.660585461703256,1.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1997.0,RFn,2.0,559.0,TA,TA,Y,0,74,0,0,No Pool,No Fence,No Misc,4,2009,WD ,12.301387370778713
RL,8.977525200965243,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,TA,Y,SBrkr,1057,0,6.964135612418245,1.0,0.0,1,0,3,1,Gd,5,Typ,0,No Fireplace,Detchd,1953.0,Unf,1.0,246.0,TA,TA,Y,0,52,0,0,No Pool,No Fence,No Misc,1,2010,WD ,11.599112335481124
RL,9.190443740261726,Pave,No Alley,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,744,700,7.275864600546533,0.0,0.0,2,1,3,1,TA,7,Typ,0,No Fireplace,BuiltIn,2007.0,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,No Pool,No Fence,No Misc,4,2010,WD ,12.066816325306588
RL,9.563529246630083,Pave,No Alley,IR1,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,TA,Y,SBrkr,831,614,7.27655640271871,0.0,0.0,2,0,3,1,TA,6,Typ,0,No Fireplace,Detchd,1957.0,Unf,2.0,484.0,TA,TA,N,0,59,0,0,No Pool,No Fence,No Misc,3,2010,WD ,11.83863282480007
RL,9.710691327448153,Pave,No Alley,IR1,Lvl,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,Ex,Y,SBrkr,1888,0,7.543802867501509,0.0,0.0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,1966.0,Fin,2.0,578.0,TA,TA,Y,0,0,0,0,No Pool,No Fence,No Misc,6,2010,WD ,12.154784614286667
RM,8.209580483475577,Pave,No Alley,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,Gd,Y,SBrkr,1072,0,6.9782137426306985,1.0,0.0,2,0,2,1,TA,5,Typ,0,No Fireplace,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,No Pool,No Fence,No Misc,6,2006,New,11.849404844423074
RL,9.405989388981,Pave,No Alley,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,Fa,Y,SBrkr,1188,0,7.080867896690782,1.0,0.0,1,0,3,1,TA,6,Typ,0,No Fireplace,Attchd,1959.0,RFn,2.0,531.0,TA,TA,Y,0,0,0,0,No Pool,MnPrv,No Misc,5,2010,COD,11.863589378812122
RL,9.66675204770245,Pave,No Alley,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,TA,Y,SBrkr,924,0,6.829793737512425,0.0,0.0,1,0,2,1,TA,6,Typ,0,No Fireplace,Detchd,1952.0,Unf,1.0,420.0,TA,TA,Y,0,324,0,0,No Pool,MnPrv,Shed,6,2007,WD ,11.630717389475995
RL,9.359363643368622,Pave,No Alley,IR1,HLS,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,TA,Y,SBrkr,1040,1040,7.640603826393634,0.0,1.0,1,2,5,1,Fa,9,Typ,2,TA,Attchd,1969.0,Unf,2.0,504.0,TA,TA,Y,335,0,0,0,No Pool,No Fence,No Misc,9,2007,WD ,11.813037464800539
RM,7.427144133408616,Pave,No Alley,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,TA,Y,SBrkr,483,504,6.895682697747868,0.0,0.0,1,1,2,1,TA,4,Typ,0,No Fireplace,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,0,0,0,0,No Pool,No Fence,No Misc,7,2008,COD,11.355113089309977
RL,8.921190556249368,Pave,No Alley,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,Ex,Y,SBrkr,1208,0,7.097548850614793,0.0,0.0,2,0,2,1,Gd,6,Typ,0,No Fireplace,Attchd,2005.0,RFn,2.0,632.0,TA,TA,Y,105,58,0,0,No Pool,No Fence,No Misc,2,2006,WD ,12.120520203776788
RL,10.181157167204903,Pave,No Alley,Reg,Bnk,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,No Basement,No Basement,No Basement,No Basement,0.0,No Basement,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,1288,728,7.6093665379542115,0.0,0.0,1,0,4,1,TA,7,Mod,1,TA,Attchd,1900.0,Unf,2.0,576.0,TA,TA,P,0,0,0,0,No Pool,No Fence,No Misc,6,2009,WD ,11.782960235741939
FV,7.880804344674901,Pave,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,Ex,Y,SBrkr,962,645,7.382746449738912,1.0,0.0,2,1,3,1,Gd,7,Typ,0,No Fireplace,Detchd,2000.0,Unf,2.0,480.0,TA,TA,Y,169,0,0,0,No Pool,No Fence,No Misc,12,2008,ConLD,12.206077645517674
RL,9.172430798902962,Pave,No Alley,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,Ex,Y,SBrkr,1361,0,7.216709486709457,0.0,0.0,2,0,3,1,Gd,6,Typ,0,No Fireplace,Attchd,2007.0,RFn,2.0,610.0,TA,TA,Y,0,50,0,0,No Pool,No Fence,No Misc,6,2008,WD ,12.170450649220749
RL,9.221774749601845,Pave,No Alley,Reg,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,Ex,Y,SBrkr,1430,0,7.266128779556451,0.0,0.0,2,0,3,1,Gd,7,Typ,0,No Fireplace,Attchd,2004.0,RFn,2.0,624.0,TA,TA,Y,0,0,0,0,No Pool,No Fence,No Misc,3,2010,WD ,12.063938642041201
